part,tag,number,description,price,provider,link
Flat screwdriver,-screwdriver_flat,,,,,
Phillips #1 screwdriver,-screwdriver_philips,1,,,,
power drill,drill,1,,,,
3mm drill bit,drill_bit,1,,,,
wire strippers,-strippers,1,,,,
wire clippers,-clippers,1,,,,
14mm wrench,-wrench_14mm,,,,,
fine needle-nosed pliers,-pliers,1,,,,
large pliers,-pliers-large,1,,,,
curved forceps,forceps,1,,,,
soldering iron,soldering_iron,1,,,,
heat gun,heat_gun,1,,,,
scissors,scissors,1,,,,
toothbrush,toothbrush,1,,,,
square cutter,square_cutter,1,,,amazon.ca,https://www.amazon.ca/Sculpey-AMM1016-Premo-Cutter-Pkg-Square/dp/B07STG9QNT/ref=sr_1_9?crid=1MVST1VB944YG&keywords=square+cutters+for+modeling+clay&qid=1654127612&sprefix=square+cutters+for+modeling+cla%2Caps%2C145&sr=8-9
hot glue gun,-hot_glue_gun,1,,,,
Glass cutting pencil,-glass-pencil,,,,,https://www.amazon.ca/gp/product/B0834S18M3/ref=ppx_yo_dt_b_search_asin_title?ie=UTF8&psc=1
custom glass cutting gauge,-glass_cut_gauge,1,,,,
5.5mm Wrenches,wrenches,2,,,,
Micro Sd card adaptor,sd_card_adaptor,1,,,,
1.5mm allen key,-allen_key,,To remove the tripod mount on the [Pi Camera HQ](#camera),,,
hdmi cable,,,,,,
display,,,,,,
breadboard,-breadboard,,,,,